cnty_fips,display_name,Value,theme_range,,year
48001,"""Anderson, (TX)""",71.1,65.9 - 103.1 (50),,2014-2016
48003,"""Andrews, (TX)""",45.7,42.5 - 50.7 (49),,2014-2016
48005,"""Angelina, (TX)""",63.6,58.8 - 65.8 (50),,2014-2016
48007,"""Aransas, (TX)""",37,19.6 - 42.4 (52),,2014-2016
48009,"""Archer, (TX)""",56.6,50.8 - 58.7 (51),,2014-2016
48011,"""Armstrong, (TX)""",51.6,50.8 - 58.7 (51),,2014-2016
48013,"""Atascosa, (TX)""",54.6,50.8 - 58.7 (51),,2014-2016
48015,"""Austin, (TX)""",46.9,42.5 - 50.7 (49),,2014-2016
48017,"""Bailey, (TX)""",41.9,19.6 - 42.4 (52),,2014-2016
48019,"""Bandera, (TX)""",38.7,19.6 - 42.4 (52),,2014-2016
48021,"""Bastrop, (TX)""",60.3,58.8 - 65.8 (50),,2014-2016
48023,"""Baylor, (TX)""",69,65.9 - 103.1 (50),,2014-2016
48025,"""Bee, (TX)""",76.7,65.9 - 103.1 (50),,2014-2016
48027,"""Bell, (TX)""",81.6,65.9 - 103.1 (50),,2014-2016
48029,"""Bexar, (TX)""",42.4,19.6 - 42.4 (52),,2014-2016
48031,"""Blanco, (TX)""",35.3,19.6 - 42.4 (52),,2014-2016
48033,"""Borden, (TX)""",59.3,58.8 - 65.8 (50),,2014-2016
48035,"""Bosque, (TX)""",49.5,42.5 - 50.7 (49),,2014-2016
48037,"""Bowie, (TX)""",71.4,65.9 - 103.1 (50),,2014-2016
48039,"""Brazoria, (TX)""",68.3,65.9 - 103.1 (50),,2014-2016
48041,"""Brazos, (TX)""",50.3,42.5 - 50.7 (49),,2014-2016
48043,"""Brewster, (TX)""",28.1,19.6 - 42.4 (52),,2014-2016
48045,"""Briscoe, (TX)""",32,19.6 - 42.4 (52),,2014-2016
48047,"""Brooks, (TX)""",93.8,65.9 - 103.1 (50),,2014-2016
48049,"""Brown, (TX)""",36.3,19.6 - 42.4 (52),,2014-2016
48051,"""Burleson, (TX)""",62.3,58.8 - 65.8 (50),,2014-2016
48053,"""Burnet, (TX)""",38.5,19.6 - 42.4 (52),,2014-2016
48055,"""Caldwell, (TX)""",55.3,50.8 - 58.7 (51),,2014-2016
48057,"""Calhoun, (TX)""",42,19.6 - 42.4 (52),,2014-2016
48059,"""Callahan, (TX)""",59.8,58.8 - 65.8 (50),,2014-2016
48061,"""Cameron, (TX)""",53.5,50.8 - 58.7 (51),,2014-2016
48063,"""Camp, (TX)""",47.5,42.5 - 50.7 (49),,2014-2016
48065,"""Carson, (TX)""",46.6,42.5 - 50.7 (49),,2014-2016
48067,"""Cass, (TX)""",81.2,65.9 - 103.1 (50),,2014-2016
48069,"""Castro, (TX)""",44.4,42.5 - 50.7 (49),,2014-2016
48071,"""Chambers, (TX)""",60,58.8 - 65.8 (50),,2014-2016
48073,"""Cherokee, (TX)""",58.7,50.8 - 58.7 (51),,2014-2016
48075,"""Childress, (TX)""",40.5,19.6 - 42.4 (52),,2014-2016
48077,"""Clay, (TX)""",59.7,58.8 - 65.8 (50),,2014-2016
48079,"""Cochran, (TX)""",62.4,58.8 - 65.8 (50),,2014-2016
48081,"""Coke, (TX)""",52.1,50.8 - 58.7 (51),,2014-2016
48083,"""Coleman, (TX)""",29.9,19.6 - 42.4 (52),,2014-2016
48085,"""Collin, (TX)""",44.4,42.5 - 50.7 (49),,2014-2016
48087,"""Collingsworth, (TX)""",21,19.6 - 42.4 (52),,2014-2016
48089,"""Colorado, (TX)""",72.7,65.9 - 103.1 (50),,2014-2016
48091,"""Comal, (TX)""",35.2,19.6 - 42.4 (52),,2014-2016
48093,"""Comanche, (TX)""",31.9,19.6 - 42.4 (52),,2014-2016
48095,"""Concho, (TX)""",55.9,50.8 - 58.7 (51),,2014-2016
48097,"""Cooke, (TX)""",54.7,50.8 - 58.7 (51),,2014-2016
48099,"""Coryell, (TX)""",61,58.8 - 65.8 (50),,2014-2016
48101,"""Cottle, (TX)""",56.5,50.8 - 58.7 (51),,2014-2016
48103,"""Crane, (TX)""",41,19.6 - 42.4 (52),,2014-2016
48105,"""Crockett, (TX)""",49.2,42.5 - 50.7 (49),,2014-2016
48107,"""Crosby, (TX)""",56.8,50.8 - 58.7 (51),,2014-2016
48109,"""Culberson, (TX)""",39.6,19.6 - 42.4 (52),,2014-2016
48111,"""Dallam, (TX)""",43.5,42.5 - 50.7 (49),,2014-2016
48113,"""Dallas, (TX)""",52.7,50.8 - 58.7 (51),,2014-2016
48115,"""Dawson, (TX)""",63.3,58.8 - 65.8 (50),,2014-2016
48117,"""Deaf Smith, (TX)""",42.5,42.5 - 50.7 (49),,2014-2016
48119,"""Delta, (TX)""",52.1,50.8 - 58.7 (51),,2014-2016
48121,"""Denton, (TX)""",51.1,50.8 - 58.7 (51),,2014-2016
48123,"""DeWitt, (TX)""",72,65.9 - 103.1 (50),,2014-2016
48125,"""Dickens, (TX)""",64.3,58.8 - 65.8 (50),,2014-2016
48127,"""Dimmit, (TX)""",64.6,58.8 - 65.8 (50),,2014-2016
48129,"""Donley, (TX)""",47.2,42.5 - 50.7 (49),,2014-2016
48131,"""Duval, (TX)""",74.4,65.9 - 103.1 (50),,2014-2016
48133,"""Eastland, (TX)""",60.1,58.8 - 65.8 (50),,2014-2016
48135,"""Ector, (TX)""",63.8,58.8 - 65.8 (50),,2014-2016
48137,"""Edwards, (TX)""",50.7,42.5 - 50.7 (49),,2014-2016
48139,"""Ellis, (TX)""",57,50.8 - 58.7 (51),,2014-2016
48141,"""El Paso, (TX)""",36.2,19.6 - 42.4 (52),,2014-2016
48143,"""Erath, (TX)""",55.6,50.8 - 58.7 (51),,2014-2016
48145,"""Falls, (TX)""",87.4,65.9 - 103.1 (50),,2014-2016
48147,"""Fannin, (TX)""",61.4,58.8 - 65.8 (50),,2014-2016
48149,"""Fayette, (TX)""",52.5,50.8 - 58.7 (51),,2014-2016
48151,"""Fisher, (TX)""",48.7,42.5 - 50.7 (49),,2014-2016
48153,"""Floyd, (TX)""",49.2,42.5 - 50.7 (49),,2014-2016
48155,"""Foard, (TX)""",50.7,42.5 - 50.7 (49),,2014-2016
48157,"""Fort Bend, (TX)""",54.7,50.8 - 58.7 (51),,2014-2016
48159,"""Franklin, (TX)""",63.4,58.8 - 65.8 (50),,2014-2016
48161,"""Freestone, (TX)""",58.8,58.8 - 65.8 (50),,2014-2016
48163,"""Frio, (TX)""",65.4,58.8 - 65.8 (50),,2014-2016
48165,"""Gaines, (TX)""",43.4,42.5 - 50.7 (49),,2014-2016
48167,"""Galveston, (TX)""",80.5,65.9 - 103.1 (50),,2014-2016
48169,"""Garza, (TX)""",52.8,50.8 - 58.7 (51),,2014-2016
48171,"""Gillespie, (TX)""",26.6,19.6 - 42.4 (52),,2014-2016
48173,"""Glasscock, (TX)""",47.7,42.5 - 50.7 (49),,2014-2016
48175,"""Goliad, (TX)""",74.5,65.9 - 103.1 (50),,2014-2016
48177,"""Gonzales, (TX)""",41,19.6 - 42.4 (52),,2014-2016
48179,"""Gray, (TX)""",79.8,65.9 - 103.1 (50),,2014-2016
48181,"""Grayson, (TX)""",70.7,65.9 - 103.1 (50),,2014-2016
48183,"""Gregg, (TX)""",65.6,58.8 - 65.8 (50),,2014-2016
48185,"""Grimes, (TX)""",57.5,50.8 - 58.7 (51),,2014-2016
48187,"""Guadalupe, (TX)""",41,19.6 - 42.4 (52),,2014-2016
48189,"""Hale, (TX)""",57.1,50.8 - 58.7 (51),,2014-2016
48191,"""Hall, (TX)""",64.3,58.8 - 65.8 (50),,2014-2016
48193,"""Hamilton, (TX)""",79.4,65.9 - 103.1 (50),,2014-2016
48195,"""Hansford, (TX)""",33.7,19.6 - 42.4 (52),,2014-2016
48197,"""Hardeman, (TX)""",46.7,42.5 - 50.7 (49),,2014-2016
48199,"""Hardin, (TX)""",60.2,58.8 - 65.8 (50),,2014-2016
48201,"""Harris, (TX)""",59,58.8 - 65.8 (50),,2014-2016
48203,"""Harrison, (TX)""",73.7,65.9 - 103.1 (50),,2014-2016
48205,"""Hartley, (TX)""",54.2,50.8 - 58.7 (51),,2014-2016
48207,"""Haskell, (TX)""",44.4,42.5 - 50.7 (49),,2014-2016
48209,"""Hays, (TX)""",46.6,42.5 - 50.7 (49),,2014-2016
48211,"""Hemphill, (TX)""",38.1,19.6 - 42.4 (52),,2014-2016
48213,"""Henderson, (TX)""",68.5,65.9 - 103.1 (50),,2014-2016
48215,"""Hidalgo, (TX)""",53.4,50.8 - 58.7 (51),,2014-2016
48217,"""Hill, (TX)""",63.1,58.8 - 65.8 (50),,2014-2016
48219,"""Hockley, (TX)""",64.5,58.8 - 65.8 (50),,2014-2016
48221,"""Hood, (TX)""",38.9,19.6 - 42.4 (52),,2014-2016
48223,"""Hopkins, (TX)""",59.3,58.8 - 65.8 (50),,2014-2016
48225,"""Houston, (TX)""",58.8,58.8 - 65.8 (50),,2014-2016
48227,"""Howard, (TX)""",73.9,65.9 - 103.1 (50),,2014-2016
48229,"""Hudspeth, (TX)""",34.9,19.6 - 42.4 (52),,2014-2016
48231,"""Hunt, (TX)""",85.6,65.9 - 103.1 (50),,2014-2016
48233,"""Hutchinson, (TX)""",47,42.5 - 50.7 (49),,2014-2016
48235,"""Irion, (TX)""",54,50.8 - 58.7 (51),,2014-2016
48237,"""Jack, (TX)""",62.2,58.8 - 65.8 (50),,2014-2016
48239,"""Jackson, (TX)""",59.8,58.8 - 65.8 (50),,2014-2016
48241,"""Jasper, (TX)""",66.9,65.9 - 103.1 (50),,2014-2016
48243,"""Jeff Davis, (TX)""",19.6,19.6 - 42.4 (52),,2014-2016
48245,"""Jefferson, (TX)""",60.2,58.8 - 65.8 (50),,2014-2016
48247,"""Jim Hogg, (TX)""",51.1,50.8 - 58.7 (51),,2014-2016
48249,"""Jim Wells, (TX)""",75.5,65.9 - 103.1 (50),,2014-2016
48251,"""Johnson, (TX)""",76.2,65.9 - 103.1 (50),,2014-2016
48253,"""Jones, (TX)""",86.4,65.9 - 103.1 (50),,2014-2016
48255,"""Karnes, (TX)""",44.2,42.5 - 50.7 (49),,2014-2016
48257,"""Kaufman, (TX)""",64.8,58.8 - 65.8 (50),,2014-2016
48259,"""Kendall, (TX)""",31.2,19.6 - 42.4 (52),,2014-2016
48261,"""Kenedy, (TX)""",80.1,65.9 - 103.1 (50),,2014-2016
48263,"""Kent, (TX)""",45.7,42.5 - 50.7 (49),,2014-2016
48265,"""Kerr, (TX)""",33.8,19.6 - 42.4 (52),,2014-2016
48267,"""Kimble, (TX)""",27.6,19.6 - 42.4 (52),,2014-2016
48269,"""King, (TX)""",-1,,,2014-2016
48271,"""Kinney, (TX)""",44.3,42.5 - 50.7 (49),,2014-2016
48273,"""Kleberg, (TX)""",98.6,65.9 - 103.1 (50),,2014-2016
48275,"""Knox, (TX)""",44.6,42.5 - 50.7 (49),,2014-2016
48277,"""Lamar, (TX)""",73.1,65.9 - 103.1 (50),,2014-2016
48279,"""Lamb, (TX)""",58.6,50.8 - 58.7 (51),,2014-2016
48281,"""Lampasas, (TX)""",63.9,58.8 - 65.8 (50),,2014-2016
48283,"""La Salle, (TX)""",76.8,65.9 - 103.1 (50),,2014-2016
48285,"""Lavaca, (TX)""",35.4,19.6 - 42.4 (52),,2014-2016
48287,"""Lee, (TX)""",61.5,58.8 - 65.8 (50),,2014-2016
48289,"""Leon, (TX)""",55.7,50.8 - 58.7 (51),,2014-2016
48291,"""Liberty, (TX)""",103.1,65.9 - 103.1 (50),,2014-2016
48293,"""Limestone, (TX)""",56.9,50.8 - 58.7 (51),,2014-2016
48295,"""Lipscomb, (TX)""",35,19.6 - 42.4 (52),,2014-2016
48297,"""Live Oak, (TX)""",53.2,50.8 - 58.7 (51),,2014-2016
48299,"""Llano, (TX)""",45.7,42.5 - 50.7 (49),,2014-2016
48301,"""Loving, (TX)""",-1,,,2014-2016
48303,"""Lubbock, (TX)""",58.4,50.8 - 58.7 (51),,2014-2016
48305,"""Lynn, (TX)""",55.2,50.8 - 58.7 (51),,2014-2016
48307,"""McCulloch, (TX)""",37.4,19.6 - 42.4 (52),,2014-2016
48309,"""McLennan, (TX)""",60.7,58.8 - 65.8 (50),,2014-2016
48311,"""McMullen, (TX)""",48.4,42.5 - 50.7 (49),,2014-2016
48313,"""Madison, (TX)""",61.2,58.8 - 65.8 (50),,2014-2016
48315,"""Marion, (TX)""",70.9,65.9 - 103.1 (50),,2014-2016
48317,"""Martin, (TX)""",38.1,19.6 - 42.4 (52),,2014-2016
48319,"""Mason, (TX)""",31.7,19.6 - 42.4 (52),,2014-2016
48321,"""Matagorda, (TX)""",77.8,65.9 - 103.1 (50),,2014-2016
48323,"""Maverick, (TX)""",63.1,58.8 - 65.8 (50),,2014-2016
48325,"""Medina, (TX)""",49.1,42.5 - 50.7 (49),,2014-2016
48327,"""Menard, (TX)""",47.5,42.5 - 50.7 (49),,2014-2016
48329,"""Midland, (TX)""",42.4,19.6 - 42.4 (52),,2014-2016
48331,"""Milam, (TX)""",65.7,58.8 - 65.8 (50),,2014-2016
48333,"""Mills, (TX)""",44.5,42.5 - 50.7 (49),,2014-2016
48335,"""Mitchell, (TX)""",42.9,42.5 - 50.7 (49),,2014-2016
48337,"""Montague, (TX)""",54.8,50.8 - 58.7 (51),,2014-2016
48339,"""Montgomery, (TX)""",64.5,58.8 - 65.8 (50),,2014-2016
48341,"""Moore, (TX)""",58.1,50.8 - 58.7 (51),,2014-2016
48343,"""Morris, (TX)""",66.2,65.9 - 103.1 (50),,2014-2016
48345,"""Motley, (TX)""",36.4,19.6 - 42.4 (52),,2014-2016
48347,"""Nacogdoches, (TX)""",57.7,50.8 - 58.7 (51),,2014-2016
48349,"""Navarro, (TX)""",65.8,58.8 - 65.8 (50),,2014-2016
48351,"""Newton, (TX)""",67.8,65.9 - 103.1 (50),,2014-2016
48353,"""Nolan, (TX)""",82.4,65.9 - 103.1 (50),,2014-2016
48355,"""Nueces, (TX)""",57,50.8 - 58.7 (51),,2014-2016
48357,"""Ochiltree, (TX)""",34.1,19.6 - 42.4 (52),,2014-2016
48359,"""Oldham, (TX)""",44,42.5 - 50.7 (49),,2014-2016
48361,"""Orange, (TX)""",57.9,50.8 - 58.7 (51),,2014-2016
48363,"""Palo Pinto, (TX)""",69,65.9 - 103.1 (50),,2014-2016
48365,"""Panola, (TX)""",71.8,65.9 - 103.1 (50),,2014-2016
48367,"""Parker, (TX)""",47.6,42.5 - 50.7 (49),,2014-2016
48369,"""Parmer, (TX)""",35.2,19.6 - 42.4 (52),,2014-2016
48371,"""Pecos, (TX)""",68.7,65.9 - 103.1 (50),,2014-2016
48373,"""Polk, (TX)""",50.9,50.8 - 58.7 (51),,2014-2016
48375,"""Potter, (TX)""",51.5,50.8 - 58.7 (51),,2014-2016
48377,"""Presidio, (TX)""",26.5,19.6 - 42.4 (52),,2014-2016
48379,"""Rains, (TX)""",75.9,65.9 - 103.1 (50),,2014-2016
48381,"""Randall, (TX)""",44.8,42.5 - 50.7 (49),,2014-2016
48383,"""Reagan, (TX)""",49,42.5 - 50.7 (49),,2014-2016
48385,"""Real, (TX)""",42.1,19.6 - 42.4 (52),,2014-2016
48387,"""Red River, (TX)""",67.5,65.9 - 103.1 (50),,2014-2016
48389,"""Reeves, (TX)""",30.4,19.6 - 42.4 (52),,2014-2016
48391,"""Refugio, (TX)""",48.8,42.5 - 50.7 (49),,2014-2016
48393,"""Roberts, (TX)""",42.1,19.6 - 42.4 (52),,2014-2016
48395,"""Robertson, (TX)""",63.2,58.8 - 65.8 (50),,2014-2016
48397,"""Rockwall, (TX)""",43.7,42.5 - 50.7 (49),,2014-2016
48399,"""Runnels, (TX)""",45.7,42.5 - 50.7 (49),,2014-2016
48401,"""Rusk, (TX)""",67.1,65.9 - 103.1 (50),,2014-2016
48403,"""Sabine, (TX)""",48.3,42.5 - 50.7 (49),,2014-2016
48405,"""San Augustine, (TX)""",54.7,50.8 - 58.7 (51),,2014-2016
48407,"""San Jacinto, (TX)""",90.3,65.9 - 103.1 (50),,2014-2016
48409,"""San Patricio, (TX)""",59.3,58.8 - 65.8 (50),,2014-2016
48411,"""San Saba, (TX)""",40.8,19.6 - 42.4 (52),,2014-2016
48413,"""Schleicher, (TX)""",41.2,19.6 - 42.4 (52),,2014-2016
48415,"""Scurry, (TX)""",43.3,42.5 - 50.7 (49),,2014-2016
48417,"""Shackelford, (TX)""",43.7,42.5 - 50.7 (49),,2014-2016
48419,"""Shelby, (TX)""",64.6,58.8 - 65.8 (50),,2014-2016
48421,"""Sherman, (TX)""",51.9,50.8 - 58.7 (51),,2014-2016
48423,"""Smith, (TX)""",59,58.8 - 65.8 (50),,2014-2016
48425,"""Somervell, (TX)""",60.1,58.8 - 65.8 (50),,2014-2016
48427,"""Starr, (TX)""",57.1,50.8 - 58.7 (51),,2014-2016
48429,"""Stephens, (TX)""",59.9,58.8 - 65.8 (50),,2014-2016
48431,"""Sterling, (TX)""",61,58.8 - 65.8 (50),,2014-2016
48433,"""Stonewall, (TX)""",31.8,19.6 - 42.4 (52),,2014-2016
48435,"""Sutton, (TX)""",42.8,42.5 - 50.7 (49),,2014-2016
48437,"""Swisher, (TX)""",40.8,19.6 - 42.4 (52),,2014-2016
48439,"""Tarrant, (TX)""",57,50.8 - 58.7 (51),,2014-2016
48441,"""Taylor, (TX)""",53.1,50.8 - 58.7 (51),,2014-2016
48443,"""Terrell, (TX)""",55.6,50.8 - 58.7 (51),,2014-2016
48445,"""Terry, (TX)""",78.7,65.9 - 103.1 (50),,2014-2016
48447,"""Throckmorton, (TX)""",43.7,42.5 - 50.7 (49),,2014-2016
48449,"""Titus, (TX)""",77.7,65.9 - 103.1 (50),,2014-2016
48451,"""Tom Green, (TX)""",57.6,50.8 - 58.7 (51),,2014-2016
48453,"""Travis, (TX)""",46.3,42.5 - 50.7 (49),,2014-2016
48455,"""Trinity, (TX)""",79.4,65.9 - 103.1 (50),,2014-2016
48457,"""Tyler, (TX)""",71.1,65.9 - 103.1 (50),,2014-2016
48459,"""Upshur, (TX)""",62.9,58.8 - 65.8 (50),,2014-2016
48461,"""Upton, (TX)""",40.6,19.6 - 42.4 (52),,2014-2016
48463,"""Uvalde, (TX)""",53.6,50.8 - 58.7 (51),,2014-2016
48465,"""Val Verde, (TX)""",49.2,42.5 - 50.7 (49),,2014-2016
48467,"""Van Zandt, (TX)""",66.8,65.9 - 103.1 (50),,2014-2016
48469,"""Victoria, (TX)""",67.8,65.9 - 103.1 (50),,2014-2016
48471,"""Walker, (TX)""",65.4,58.8 - 65.8 (50),,2014-2016
48473,"""Waller, (TX)""",65.5,58.8 - 65.8 (50),,2014-2016
48475,"""Ward, (TX)""",35.9,19.6 - 42.4 (52),,2014-2016
48477,"""Washington, (TX)""",53.2,50.8 - 58.7 (51),,2014-2016
48479,"""Webb, (TX)""",44,42.5 - 50.7 (49),,2014-2016
48481,"""Wharton, (TX)""",69.7,65.9 - 103.1 (50),,2014-2016
48483,"""Wheeler, (TX)""",42.4,19.6 - 42.4 (52),,2014-2016
48485,"""Wichita, (TX)""",57,50.8 - 58.7 (51),,2014-2016
48487,"""Wilbarger, (TX)""",71.4,65.9 - 103.1 (50),,2014-2016
48489,"""Willacy, (TX)""",54.3,50.8 - 58.7 (51),,2014-2016
48491,"""Williamson, (TX)""",42.5,42.5 - 50.7 (49),,2014-2016
48493,"""Wilson, (TX)""",42,19.6 - 42.4 (52),,2014-2016
48495,"""Winkler, (TX)""",42.1,19.6 - 42.4 (52),,2014-2016
48497,"""Wise, (TX)""",62.2,58.8 - 65.8 (50),,2014-2016
48499,"""Wood, (TX)""",45.3,42.5 - 50.7 (49),,2014-2016
48501,"""Yoakum, (TX)""",27.8,19.6 - 42.4 (52),,2014-2016
48503,"""Young, (TX)""",57.9,50.8 - 58.7 (51),,2014-2016
48505,"""Zapata, (TX)""",56.2,50.8 - 58.7 (51),,2014-2016
48507,"""Zavala, (TX)""",59.8,58.8 - 65.8 (50),,2014-2016
