"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","no_hsdip","no_college","female_hd","foodstmp","home_val","income","GINI","povpct","unemploy"
48253,"""Jones, (TX)""",86.4,"65.9 - 103.1 (50)",9.4,30.3,25.9,22.4,89.1,11.2,10.1,73.1,40.9,0.473,21.3,5.9
48255,"""Karnes, (TX)""",44.2,"42.5 - 50.7 (49)",9.2,29.9,22.7,24.4,86.3,12.3,14.6,94.1,47.6,0.542,21.8,3.8
48257,"""Kaufman, (TX)""",64.8,"58.8 - 65.8 (50)",9.5,30.2,25.4,14,79.3,12.4,11.1,154,62.4,0.411,11.4,3.6
48259,"""Kendall, (TX)""",31.2,"19.6 - 42.4 (52)",7.3,25.9,18.9,6.9,61,9.2,5,297.7,83.8,0.459,7.4,3.2
48261,"""Kenedy, (TX)""",80.1,"65.9 - 103.1 (50)",8.8,27.1,21.5,58.7,93.5,25,17.7,21.3,38.7,0.429,16.2,3.7
48263,"""Kent, (TX)""",45.7,"42.5 - 50.7 (49)",8.6,27.6,21.9,22.8,76.2,4.4,7.1,70.5,45.1,0.472,11.5,2.9
48265,"""Kerr, (TX)""",33.8,"19.6 - 42.4 (52)",10.1,28.8,21.7,11.9,74.1,11.8,11.2,164,50.5,0.459,14.8,3.6
48267,"""Kimble, (TX)""",27.6,"19.6 - 42.4 (52)",8.7,31.4,23.6,16.8,80.7,9.5,10.8,107.2,40.1,0.504,19.4,4
48269,"""King, (TX)""",-1,,8.7,28.3,21.2,19.8,80.2,3,4.6,38.8,59.1,0.389,10.7,3.8
48271,"""Kinney, (TX)""",44.3,"42.5 - 50.7 (49)",8.6,28.9,20.8,25.7,88.5,3.8,14.4,64.2,40.6,0.44,20,6
48273,"""Kleberg, (TX)""",98.6,"65.9 - 103.1 (50)",9.3,28.5,22.7,22.1,75.9,12.5,19,86.8,44.1,0.466,22.9,6.1
48275,"""Knox, (TX)""",44.6,"42.5 - 50.7 (49)",9.2,29,22.3,17.7,79.5,8.2,16.2,44.4,37.6,0.407,21.1,3.9
48277,"""Lamar, (TX)""",73.1,"65.9 - 103.1 (50)",10.5,34.6,31.6,15.4,82.9,13.9,17,88.1,41.9,0.472,19.9,4.3
48279,"""Lamb, (TX)""",58.6,"50.8 - 58.7 (51)",9.5,32.3,22.9,26.3,83.6,14.1,18.6,62.7,37.8,0.451,21.5,5.5
48281,"""Lampasas, (TX)""",63.9,"58.8 - 65.8 (50)",8.1,29.1,24.7,11.3,79.9,9.6,13.1,136.8,52.6,0.418,13.6,3.7
48283,"""La Salle, (TX)""",76.8,"65.9 - 103.1 (50)",8.8,28.5,20.7,31.7,84.9,9.1,16.6,70.8,39.9,0.587,26.2,4.6
48285,"""Lavaca, (TX)""",35.4,"19.6 - 42.4 (52)",9.1,31.2,25.2,15.4,82.6,10.1,9.4,143.3,49,0.464,12.5,3.8
48287,"""Lee, (TX)""",61.5,"58.8 - 65.8 (50)",9.5,31.1,26.4,17.3,82.4,10.2,11.4,138.3,51.8,0.45,12.7,3.5
48289,"""Leon, (TX)""",55.7,"50.8 - 58.7 (51)",10.2,30,26,17.2,84.1,14.1,10.9,102.3,44.9,0.467,18,6.5
48291,"""Liberty, (TX)""",103.1,"65.9 - 103.1 (50)",10.1,28.2,25.2,22.9,90.7,12,14.7,93.2,48.6,0.444,15.9,7.3
48293,"""Limestone, (TX)""",56.9,"50.8 - 58.7 (51)",10.3,33.9,27.7,19.6,86.2,13.2,16.2,84.8,39.4,0.455,21.1,5.9
48295,"""Lipscomb, (TX)""",35,"19.6 - 42.4 (52)",8.6,28.2,24.1,18.6,81.2,8.7,5.5,92.4,54.2,0.443,12.4,3.5
48297,"""Live Oak, (TX)""",53.2,"50.8 - 58.7 (51)",9.4,28.9,23.8,21.5,88.7,7.6,10,84.9,52,0.437,17.2,5.5
48299,"""Llano, (TX)""",45.7,"42.5 - 50.7 (49)",8.4,28.4,23.9,13.5,73.4,5.2,9,184.5,48.1,0.521,13.4,3.7
48301,"""Loving, (TX)""",-1,,9,27.9,21.6,20.3,95.3,9.7,0.9,-1,64.2,0.34,13.3,6
48303,"""Lubbock, (TX)""",58.4,"50.8 - 58.7 (51)",8.5,32.4,27.1,14.5,71.3,13.8,13.4,122.7,48.6,0.482,18.9,3.2
48305,"""Lynn, (TX)""",55.2,"50.8 - 58.7 (51)",9.1,27.9,22.9,23.1,83,16,16,76.8,39.9,0.5,17.9,3.9
48307,"""McCulloch, (TX)""",37.4,"19.6 - 42.4 (52)",8.7,28.5,24.4,21.1,84,13.5,13.1,82,40.1,0.45,18.4,4.2
48309,"""McLennan, (TX)""",60.7,"58.8 - 65.8 (50)",9.6,30.6,23.6,16,77.1,15.3,14.8,125.2,46.7,0.478,18.5,3.9
48311,"""McMullen, (TX)""",48.4,"42.5 - 50.7 (49)",8.8,31.3,26.7,15.5,79.3,13.9,6.8,74.7,67.2,0.548,12,1.8
48313,"""Madison, (TX)""",61.2,"58.8 - 65.8 (50)",9.7,29.5,23.7,21.7,87,11.7,12.9,101.7,42.4,0.448,17.3,4.7
48315,"""Marion, (TX)""",70.9,"65.9 - 103.1 (50)",10.5,31.3,25.1,17.9,85.9,8.8,19.1,88.6,34.9,0.513,22.6,6.3
48317,"""Martin, (TX)""",38.1,"19.6 - 42.4 (52)",8.5,29.6,25.1,22.3,79.4,12.4,10.2,120.5,58.8,0.446,13,3.7
48319,"""Mason, (TX)""",31.7,"19.6 - 42.4 (52)",8.9,27.9,21.9,11.2,79.7,10.9,7.3,156.4,44.8,0.434,13.2,3.8
48321,"""Matagorda, (TX)""",77.8,"65.9 - 103.1 (50)",10.1,30.8,24.4,22.5,85.3,12,15.2,102.2,46.3,0.469,17.4,7.2
48323,"""Maverick, (TX)""",63.1,"58.8 - 65.8 (50)",9.6,30.4,24.9,40.8,88.2,17.7,28.4,95.1,35.7,0.472,24.3,10
48325,"""Medina, (TX)""",49.1,"42.5 - 50.7 (49)",10.6,31.6,20.7,17.3,80,10.7,13.2,134.4,51.3,0.447,14.4,4
48327,"""Menard, (TX)""",47.5,"42.5 - 50.7 (49)",9.1,28.5,23.1,20.9,84.2,8.6,10.3,60.8,34.8,0.432,21.4,6.6
48329,"""Midland, (TX)""",42.4,"19.6 - 42.4 (52)",8.2,32.7,25.6,16.3,73.2,12.7,6.8,187.4,68.7,0.476,9.7,3.4
48331,"""Milam, (TX)""",65.7,"58.8 - 65.8 (50)",9,31.5,21.7,18.3,85,12.5,18.7,88.5,42.3,0.449,16.3,5
48333,"""Mills, (TX)""",44.5,"42.5 - 50.7 (49)",8.5,28.1,23.6,17.1,77,8.3,7.7,111.2,43.5,0.449,15.8,3.6
48335,"""Mitchell, (TX)""",42.9,"42.5 - 50.7 (49)",9.3,30.6,22.8,24.6,88.2,10.1,10.6,65.7,41.3,0.395,21.6,6.1
48337,"""Montague, (TX)""",54.8,"50.8 - 58.7 (51)",8.8,27.6,24.1,17.3,83.8,7.3,12,107.1,46.2,0.453,16.5,4.5
48339,"""Montgomery, (TX)""",64.5,"58.8 - 65.8 (50)",8.1,23.4,21.3,12.4,66.3,10.4,7.5,206.4,72.5,0.479,10.9,4.6
48341,"""Moore, (TX)""",58.1,"50.8 - 58.7 (51)",9,30.4,22.9,34.6,86.6,11.3,10.3,106.4,52.3,0.382,11.8,3
48343,"""Morris, (TX)""",66.2,"65.9 - 103.1 (50)",9.9,31.5,25.6,11.8,84,11.5,19.1,82.3,38.3,0.441,20,9.6
48345,"""Motley, (TX)""",36.4,"19.6 - 42.4 (52)",8.7,27.7,21.2,10.2,84.4,13.9,11.3,57.3,37.5,0.478,18.2,4
48347,"""Nacogdoches, (TX)""",57.7,"50.8 - 58.7 (51)",12.7,33.9,27.5,17.2,74.8,11.8,15.9,117.7,38.1,0.508,25.4,4.3
48349,"""Navarro, (TX)""",65.8,"58.8 - 65.8 (50)",9,27.3,25.8,22.8,84.4,14.5,18.9,88.9,44.1,0.452,17.8,4
48351,"""Newton, (TX)""",67.8,"65.9 - 103.1 (50)",10,30.7,24.9,12.4,91.2,10.4,17.4,73.3,41.4,0.428,22.8,8.1
48353,"""Nolan, (TX)""",82.4,"65.9 - 103.1 (50)",9.6,31.3,27.2,19.6,86.7,13.7,16.6,66.1,41,0.473,18.4,4.5
48355,"""Nueces, (TX)""",57,"50.8 - 58.7 (51)",11.3,33.8,22.5,17.8,79.1,15.7,17.4,122.4,53.6,0.466,15.1,5.4
48357,"""Ochiltree, (TX)""",34.1,"19.6 - 42.4 (52)",9.6,30,26.4,24.4,81.7,8,7,102.4,61.2,0.449,11.4,4.3
48359,"""Oldham, (TX)""",44,"42.5 - 50.7 (49)",8.7,28.2,21.8,12.1,73.5,4,6,87,54.2,0.47,14.3,2.9
48361,"""Orange, (TX)""",57.9,"50.8 - 58.7 (51)",10.3,33.8,30.6,10.9,84.3,12.8,14.7,104.7,53.6,0.451,14,6.8
48363,"""Palo Pinto, (TX)""",69,"65.9 - 103.1 (50)",9.2,29.8,25.5,16.6,83.4,11.5,12.9,88.6,43.6,0.472,16.4,4.4
48365,"""Panola, (TX)""",71.8,"65.9 - 103.1 (50)",10.2,33.8,25.5,15.1,85.3,12,13.8,97.2,47.8,0.458,15.6,6.1
48367,"""Parker, (TX)""",47.6,"42.5 - 50.7 (49)",7.7,30.4,23.5,10.6,73.1,8.7,7.1,180.9,67.7,0.442,9.3,3.6
48369,"""Parmer, (TX)""",35.2,"19.6 - 42.4 (52)",9.2,31.4,23.1,28.7,83.9,12.8,8.1,86.2,48.3,0.41,15.5,2.5
48371,"""Pecos, (TX)""",68.7,"65.9 - 103.1 (50)",9.5,32.3,23,30.4,90.4,7.6,12.3,68.6,45.4,0.42,17.1,5.1
48373,"""Polk, (TX)""",50.9,"50.8 - 58.7 (51)",9.8,33.5,25.3,21.9,87.7,14.9,14.8,84.9,43,0.455,20.3,6
48375,"""Potter, (TX)""",51.5,"50.8 - 58.7 (51)",9.6,34.4,27,23.4,85.2,15.9,20.1,89,41.6,0.485,22,3.2
48377,"""Presidio, (TX)""",26.5,"19.6 - 42.4 (52)",9.5,27.7,24,47.5,79.8,11,28.3,50.7,32.7,0.459,24.1,9.4
48379,"""Rains, (TX)""",75.9,"65.9 - 103.1 (50)",10.2,30.1,21.8,17.9,89.2,10.1,11.6,114,47.4,0.424,14.8,3.5
48381,"""Randall, (TX)""",44.8,"42.5 - 50.7 (49)",8.2,26.3,25.5,8.3,69.1,11.3,7,157.6,65.8,0.427,9.1,2.9
48383,"""Reagan, (TX)""",49,"42.5 - 50.7 (49)",8.7,28.6,21.7,29.6,89,9.1,7,88.4,67.3,0.394,11.8,5
48385,"""Real, (TX)""",42.1,"19.6 - 42.4 (52)",8.9,28.4,24,20.2,78.1,15.7,13.4,105.1,36.7,0.444,18.4,5.8
48387,"""Red River, (TX)""",67.5,"65.9 - 103.1 (50)",11.5,38.2,35,16.7,86.2,15.3,15.2,65.2,36.4,0.46,17.1,5.4
48389,"""Reeves, (TX)""",30.4,"19.6 - 42.4 (52)",8.9,29.8,22.8,37.7,90.5,9.9,11.8,52.9,40.1,0.442,25,4.5
48391,"""Refugio, (TX)""",48.8,"42.5 - 50.7 (49)",9.4,28.3,23.2,20.2,87.9,13.8,13.4,80.8,45.4,0.425,15.7,5.4
48393,"""Roberts, (TX)""",42.1,"19.6 - 42.4 (52)",8.6,26.9,20.8,7.2,68.8,8.9,1.9,135.7,75.8,0.354,6.6,3.9
48395,"""Robertson, (TX)""",63.2,"58.8 - 65.8 (50)",9.9,31.8,28.7,17.7,85,14.5,17.1,93.9,42.7,0.417,18.7,4.7
48397,"""Rockwall, (TX)""",43.7,"42.5 - 50.7 (49)",8.9,24.9,24.2,8.3,60,9.9,4.8,225.4,97.5,0.409,5.2,3.4
48399,"""Runnels, (TX)""",45.7,"42.5 - 50.7 (49)",9.8,30.1,22.9,21.5,80.9,11.2,12.8,76.5,40.1,0.452,17.2,4.3
48401,"""Rusk, (TX)""",67.1,"65.9 - 103.1 (50)",13,35.5,27.3,20.4,84.5,13.9,12.8,111.2,46.4,0.446,15.6,5.1
48403,"""Sabine, (TX)""",48.3,"42.5 - 50.7 (49)",9,33.8,25,14,85.6,9.2,17.7,92.1,38.5,0.47,17.5,9
48405,"""San Augustine, (TX)""",54.7,"50.8 - 58.7 (51)",11.2,31.6,25.5,20,87.9,13.2,20.9,81.9,36.4,0.515,23.8,8
48407,"""San Jacinto, (TX)""",90.3,"65.9 - 103.1 (50)",9.9,29,24.5,17.1,89.9,9.3,15.4,95.9,45.8,0.457,17.7,5.8
48409,"""San Patricio, (TX)""",59.3,"58.8 - 65.8 (50)",8.8,35.9,30.4,21.8,85.7,14.6,16.2,105.4,51.7,0.44,15.8,7.5
48411,"""San Saba, (TX)""",40.8,"19.6 - 42.4 (52)",9.3,30,22.8,26.4,84.9,6.4,11.7,97,40,0.48,20.1,2.9
48413,"""Schleicher, (TX)""",41.2,"19.6 - 42.4 (52)",8.7,28.6,22.9,25.7,79.7,10.2,7.5,72.9,47.3,0.444,16.6,4.1
48415,"""Scurry, (TX)""",43.3,"42.5 - 50.7 (49)",8.8,29.2,25.5,22,83.4,9.2,10.9,89.8,50.3,0.414,15.2,4.8
48417,"""Shackelford, (TX)""",43.7,"42.5 - 50.7 (49)",8.5,29.2,22.2,14.9,72.6,9.6,11.1,78.9,55.4,0.453,14.8,3.1
48419,"""Shelby, (TX)""",64.6,"58.8 - 65.8 (50)",10,30.6,26.1,24.5,84.7,15.1,18.5,73.1,37.4,0.485,21.1,5.3
48421,"""Sherman, (TX)""",51.9,"50.8 - 58.7 (51)",8.5,29.7,24.1,26.8,78.6,7.3,5.6,86.8,55.8,0.423,13.1,3.1
48423,"""Smith, (TX)""",59,"58.8 - 65.8 (50)",10.2,31.8,27.4,15.1,74.8,12.7,12.1,144.8,52.5,0.467,15.7,4.1
48425,"""Somervell, (TX)""",60.1,"58.8 - 65.8 (50)",8.7,28,22.2,14.9,80,15.6,8.7,172.2,56.9,0.446,10.8,4.6
48427,"""Starr, (TX)""",57.1,"50.8 - 58.7 (51)",9,32.1,26.1,51.2,90.3,25.3,36.1,67.2,26.7,0.502,39.9,11.8
48429,"""Stephens, (TX)""",59.9,"58.8 - 65.8 (50)",8.5,29.6,24.8,22.8,83.2,10.8,15.5,73.4,42.8,0.442,21.4,5.3
48431,"""Sterling, (TX)""",61,"58.8 - 65.8 (50)",8.8,26.9,22.2,14.1,78.6,6.7,4.7,66.1,60.6,0.37,12.7,3.8
48433,"""Stonewall, (TX)""",31.8,"19.6 - 42.4 (52)",8.8,27.9,22,16.1,87.5,4.1,8.3,53.7,44.2,0.474,15.6,4
48435,"""Sutton, (TX)""",42.8,"42.5 - 50.7 (49)",8.7,29.4,21,23,80.2,11.4,8.7,95.5,54.8,0.416,14.1,5.4
48437,"""Swisher, (TX)""",40.8,"19.6 - 42.4 (52)",8.8,28,27.5,22.9,87,17.1,16.6,70.8,38.8,0.476,22.2,4.2
48439,"""Tarrant, (TX)""",57,"50.8 - 58.7 (51)",10.1,29.3,22.4,14.6,68.9,14.1,12,158.2,61.6,0.46,13.6,3.8
48441,"""Taylor, (TX)""",53.1,"50.8 - 58.7 (51)",9,32.1,25.8,12.7,75.9,13.2,13.8,112.4,48.2,0.457,16.8,3.9
48443,"""Terrell, (TX)""",55.6,"50.8 - 58.7 (51)",8.9,28.4,24.3,19.1,82.7,12.8,10.5,66.6,41.1,0.502,18.7,5.4
48445,"""Terry, (TX)""",78.7,"65.9 - 103.1 (50)",8.8,30.1,24.3,31,87.2,15.7,16,68,38.9,0.475,21.8,5.4
48447,"""Throckmorton, (TX)""",43.7,"42.5 - 50.7 (49)",8.6,26.8,22.1,18,80,11.4,8.9,68.6,42.9,0.507,14.9,4.8
48449,"""Titus, (TX)""",77.7,"65.9 - 103.1 (50)",9.7,29.5,26.1,26,84.2,14.3,15.9,96.3,45.3,0.44,14.9,5.6
48451,"""Tom Green, (TX)""",57.6,"50.8 - 58.7 (51)",10.3,28.7,22.8,15.7,76.2,11.2,10.4,122.6,48.2,0.469,13.4,4
48453,"""Travis, (TX)""",46.3,"42.5 - 50.7 (49)",7.9,21.7,16.5,11.2,52.5,10.2,9.3,275.8,70.1,0.486,12.2,3.1
48455,"""Trinity, (TX)""",79.4,"65.9 - 103.1 (50)",10.5,31.7,25,16.5,88.3,12.3,18.3,75.3,39,0.445,20.1,5.8
48457,"""Tyler, (TX)""",71.1,"65.9 - 103.1 (50)",9.5,29,25.9,15.4,87.9,12.1,14,81.5,43.6,0.439,18.4,7.2
48459,"""Upshur, (TX)""",62.9,"58.8 - 65.8 (50)",10.4,29.3,27.2,16.5,83.1,9.9,14.9,111.6,49,0.439,15.4,5.6
48461,"""Upton, (TX)""",40.6,"19.6 - 42.4 (52)",9,27.9,22.1,21.8,88.9,10.5,10,62.9,56.3,0.456,13.6,4.6
48463,"""Uvalde, (TX)""",53.6,"50.8 - 58.7 (51)",8.9,31.5,23.1,28.8,84.9,14.9,22.3,77.8,36.9,0.439,25.3,4.7
48465,"""Val Verde, (TX)""",49.2,"42.5 - 50.7 (49)",8.8,27.4,23.3,32.6,81.9,12.9,22.6,94.5,42.1,0.465,20.7,5.1
48467,"""Van Zandt, (TX)""",66.8,"65.9 - 103.1 (50)",8.9,26.5,26.4,16.2,83.4,9.9,11.5,112.6,49.8,0.448,14.8,3.7
48469,"""Victoria, (TX)""",67.8,"65.9 - 103.1 (50)",9.9,31,26.5,17,80.5,13.6,13.3,129.1,53.7,0.454,14.2,4.8
48471,"""Walker, (TX)""",65.4,"58.8 - 65.8 (50)",9.8,31.9,23.8,16.4,79.7,11.7,9.3,132.2,42.7,0.475,22.3,4.6
48473,"""Waller, (TX)""",65.5,"58.8 - 65.8 (50)",11.3,35.8,29.4,21.7,80.8,12.8,12.2,157.6,56.4,0.467,16.5,5
48475,"""Ward, (TX)""",35.9,"19.6 - 42.4 (52)",10,31.8,23.8,21.4,86.5,9.7,11.9,85.6,63.8,0.438,12.8,4.8
48477,"""Washington, (TX)""",53.2,"50.8 - 58.7 (51)",9.7,28.9,24.7,15.4,76.1,11.2,10,163.4,53.2,0.461,14.1,4.3
48479,"""Webb, (TX)""",44,"42.5 - 50.7 (49)",8.3,33.1,25.4,33.3,82.6,22.2,29.3,115.5,36.7,0.491,31.8,4.4
48481,"""Wharton, (TX)""",69.7,"65.9 - 103.1 (50)",9.3,30.1,24,21.1,85,13.8,14.2,115.7,46.1,0.49,17.4,4.6
48483,"""Wheeler, (TX)""",42.4,"19.6 - 42.4 (52)",9.2,29.6,26.7,21,85.4,10.5,8.3,86.5,47.5,0.414,13.4,4.5
48485,"""Wichita, (TX)""",57,"50.8 - 58.7 (51)",12.3,32.2,27.5,13.8,77.6,14.2,14.1,93.2,45.1,0.457,16.8,3.9
48487,"""Wilbarger, (TX)""",71.4,"65.9 - 103.1 (50)",10,28.4,26.4,20.8,84.8,12.3,16.4,69.9,41,0.416,15.8,4.9
48489,"""Willacy, (TX)""",54.3,"50.8 - 58.7 (51)",10,30.8,22.9,34.6,91,23.9,30.5,49.1,31.2,0.505,38.3,12.3
48491,"""Williamson, (TX)""",42.5,"42.5 - 50.7 (49)",7.8,31.1,17.3,7,59.8,9.8,5.8,227.1,82.4,0.402,5.8,3.3
48493,"""Wilson, (TX)""",42,"19.6 - 42.4 (52)",9.2,34.5,22.4,15.2,80.5,9.6,8.5,170.6,66,0.414,10.4,3.6
48495,"""Winkler, (TX)""",42.1,"19.6 - 42.4 (52)",9,31,22.9,30.4,89.3,12.8,12.8,58.2,53.3,0.453,15,6.6
48497,"""Wise, (TX)""",62.2,"58.8 - 65.8 (50)",10.1,30.2,23.9,15,82.8,11.4,8.8,141.7,57.6,0.429,12,4.1
48499,"""Wood, (TX)""",45.3,"42.5 - 50.7 (49)",9.2,29.2,24.6,14.5,84,9.8,10.9,117,47.3,0.461,13.2,4.8
48501,"""Yoakum, (TX)""",27.8,"19.6 - 42.4 (52)",8.6,28.9,22.9,29.8,84.9,8.7,8.1,81.9,57.1,0.409,12.2,4
48503,"""Young, (TX)""",57.9,"50.8 - 58.7 (51)",10.8,31.5,24.8,17.4,80.4,11.5,13.4,87.5,52.1,0.449,14.6,4
48505,"""Zapata, (TX)""",56.2,"50.8 - 58.7 (51)",8.6,28.6,21.8,44.6,88.6,18.7,31.1,60.7,34.1,0.531,29.1,8.6
48507,"""Zavala, (TX)""",59.8,"58.8 - 65.8 (50)",8.4,27.7,21.1,39.7,92.4,26.4,32.6,39.9,25.5,0.482,34.4,10.4
